Feed Name,Provider,Location,feed_url,expired,download_url
transbordador-vizcaya,Eusko-Jaurlaritzaren,"Bilbao, Spain",https://gtfs.pro/en/spain/Eusko-Jaurlaritzaren/transbordador-vizcaya,False,https://s3.gtfs.pro/files/uran/improved-gtfs-transbordador-vizcaya.zip
сatalunya,Ferrocarrils,"Catalunya, Spain",https://gtfs.pro/en/spain/Ferrocarrils/%D1%81atalunya,False,https://s3.gtfs.pro/files/uran/improved-gtfs-сatalunya.zip
valencia,Lappeenranta,"Valencia, Spain",https://gtfs.pro/en/spain/Lappeenranta/valencia,False,https://s3.gtfs.pro/files/uran/improved-gtfs-valencia.zip
metro-malaga,Metro-de-Malaga,"Malaga, Andalusia, Spain",https://gtfs.pro/en/spain/Metro-de-Malaga/metro-malaga,False,https://s3.gtfs.pro/files/uran/improved-gtfs-metro-malaga.zip
metro-valencia,MetroValencia,"Valencia, Spain",https://gtfs.pro/en/spain/MetroValencia/metro-valencia,False,https://s3.gtfs.pro/files/uran/improved-gtfs-metro-valencia.zip
aecfa-1,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/aecfa-1,False,https://s3.gtfs.pro/files/uran/improved-gtfs-aecfa-1.zip
aisa-1,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/aisa-1,False,https://s3.gtfs.pro/files/uran/improved-gtfs-aisa-1.zip
ajuntament-plana,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/ajuntament-plana,False,https://s3.gtfs.pro/files/uran/improved-gtfs-ajuntament-plana.zip
alavabus,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/alavabus,False,https://s3.gtfs.pro/files/uran/improved-gtfs-alavabus.zip
alsa-autobuses,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/alsa-autobuses,False,https://s3.gtfs.pro/files/uran/improved-gtfs-alsa-autobuses.zip
aucorsa,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/aucorsa,False,https://s3.gtfs.pro/files/uran/improved-gtfs-aucorsa.zip
autobusos-lleida,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/autobusos-lleida,False,https://s3.gtfs.pro/files/uran/improved-gtfs-autobusos-lleida.zip
autocares-autocorb,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/autocares-autocorb,False,https://s3.gtfs.pro/files/uran/improved-gtfs-autocares-autocorb.zip
auvasa,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/auvasa,False,https://s3.gtfs.pro/files/uran/improved-gtfs-auvasa.zip
avanza-grupo,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/avanza-grupo,False,https://s3.gtfs.pro/files/uran/improved-gtfs-avanza-grupo.zip
avanza-grupo-1,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/avanza-grupo-1,False,https://s3.gtfs.pro/files/uran/improved-gtfs-avanza-grupo-1.zip
avanza-grupo-3,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/avanza-grupo-3,False,https://s3.gtfs.pro/files/uran/improved-gtfs-avanza-grupo-3.zip
avanza-grupo-4,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/avanza-grupo-4,False,https://s3.gtfs.pro/files/uran/improved-gtfs-avanza-grupo-4.zip
avanza-grupo-6,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/avanza-grupo-6,False,https://s3.gtfs.pro/files/uran/improved-gtfs-avanza-grupo-6.zip
avanza-grupo-7,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/avanza-grupo-7,False,https://s3.gtfs.pro/files/uran/improved-gtfs-avanza-grupo-7.zip
ayuntamiento-canaria,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/ayuntamiento-canaria,False,https://s3.gtfs.pro/files/uran/improved-gtfs-ayuntamiento-canaria.zip
bvanza-grupo,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/bvanza-grupo,False,https://s3.gtfs.pro/files/uran/improved-gtfs-bvanza-grupo.zip
cantabria,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/cantabria,False,https://s3.gtfs.pro/files/uran/improved-gtfs-cantabria.zip
consorcio-asturias,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/consorcio-asturias,False,https://s3.gtfs.pro/files/uran/improved-gtfs-consorcio-asturias.zip
eivissa-tib,Nap-Mitma,Spain,https://gtfs.pro/en/spain/Nap-Mitma/eivissa-tib,False,https://s3.gtfs.pro/files/uran/improved-gtfs-eivissa-tib.zip
